"","V1","V2","V3","V4"
"CD2A2_HUMAN-->NPM_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"SRC_HUMAN-->EGFR_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"SRC_HUMAN-->GAB1_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"EP300_HUMAN-->H31_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"H31_HUMAN-->CAF1B_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"CCNE1_HUMAN-->RB_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"CDN1B_HUMAN-->CCNE1_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"BRCA1_HUMAN-->P53_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"HIF1A_HUMAN-->HSP74_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"HSP74_HUMAN-->CHIP_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"A4D1G0_HUMAN-->CCND3_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"CCND3_HUMAN-->CDK4_HUMAN",-89.9099992548865,3.30678243111878,3.69680579962731,-21.9614157510834
"SP1_HUMAN-->G4XH65_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"CDC37_HUMAN-->HS90A_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"CDK4_HUMAN-->CDC37_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"SP1_HUMAN-->EP300_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"MDM2_HUMAN-->K7PPA8_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"UBP7_HUMAN-->DNMT1_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"CCND1_HUMAN-->A4D1G0_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"CD2A2_HUMAN-->P53_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"B0LPE5_HUMAN-->GSK3A_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"MDM2_HUMAN-->B0LPE5_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"A2RUM7_HUMAN-->N0E4C7_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"CSK21_HUMAN-->XRCC1_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"MDM2_HUMAN-->A2RUM7_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"N0E4C7_HUMAN-->CSK21_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"CDN1A_HUMAN-->CCNE1_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"RAGP1_HUMAN-->UBC9_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"SUMO1_HUMAN-->RAGP1_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"CUL1_HUMAN-->NEDD8_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"NEDD8_HUMAN-->P53_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"RBX1_HUMAN-->CUL1_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"UB2D2_HUMAN-->RBX1_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"CCNE1_HUMAN-->CDN1A_HUMAN",-89.7194179547181,-11.5662413089643,-7.92040786996342,-26.1531719573682
"MDM2_HUMAN-->EP300_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"CUL2_HUMAN-->VHL_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
