"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"A4D1G0_HUMAN-->RB_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"CD2A2_HUMAN-->A4D1G0_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"K7PPA8_HUMAN-->SP1_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"G4XH65_HUMAN-->SP1_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"SP1_HUMAN-->P53_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"B2CL1_HUMAN-->BAD_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"K7PPA8_HUMAN-->B2CL1_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"CDK4_HUMAN-->CDN1A_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"CDN1A_HUMAN-->CCND1_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"CDN1A_HUMAN-->PCNA_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"PCNA_HUMAN-->DNMT1_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"CCND1_HUMAN-->CDN1A_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"SP1_HUMAN-->HDAC2_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"G4XH65_HUMAN-->HDAC1_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"A4D1G0_HUMAN-->CCND1_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"CCND1_HUMAN-->CDK4_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"PCNA_HUMAN-->RFC1_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"SUMO1_HUMAN-->UBC9_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"UBC9_HUMAN-->RBP2_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"UB2D2_HUMAN-->ZN363_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"ZN363_HUMAN-->P53_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"UBC9_HUMAN-->P53_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"CDK4_HUMAN-->CDN1B_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"CDN1B_HUMAN-->CCND1_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"CD2A2_HUMAN-->NPM_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"SRC_HUMAN-->EGFR_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"SRC_HUMAN-->GAB1_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"EP300_HUMAN-->H31_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"H31_HUMAN-->CAF1B_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
